Instance,RSJHN20,,,,,
,,,,,,
VEHICLE,4,,,,,
VEHICLE_TYPE,NUMBER,CAPACITY,COST,,,
V10,4,30,1,,,
V11,2,50,2,,,
V20,3,30,1.5,,,
V21,2,50,3,,,
,,,,,,
CUSTOMER,20,,,,,
CUSTOMER_NO,DEMAND,TYPE,AREA,SERVICE_TIME,TW_NUMBER,TWs
0,0,1,0,0,1,0.0;480.0
1,13,0,0,50,1,203.0;268.0
2,19,1,0,50,1,292.0;354.0
3,5,0,0,50,1,393.0;453.0
4,9,0,0,50,2,56.0;121.0#344.0;404.0
5,16,1,0,50,1,397.0;458.0
6,16,1,1,50,2,129.0;191.0#291.0;355.0
7,12,1,1,50,3,44.0;160.0#161.0;280.0#294.0;412.0
8,23,1,0,50,1,108.0;286.0
9,8,0,0,50,1,229.0;408.0
10,19,0,1,50,1,245.0;425.0
11,2,0,1,50,1,179.0;243.0
12,17,0,1,50,1,204.0;321.0
13,9,1,1,50,1,51.0;113.0
14,11,0,0,50,1,124.0;244.0
15,18,0,0,50,1,146.0;211.0
16,3,0,0,50,1,61.0;301.0
17,17,0,0,50,3,103.0;163.0#172.0;232.0#367.0;432.0
18,16,0,0,50,2,64.0;128.0#298.0;359.0
19,16,0,0,50,1,235.0;296.0
20,27,0,1,50,1,352.0;414.0
